,index,name,cost,weight
0,0,Abacus,2 gp,2 lb.
1,1,Bedroll,1 gp,2 lb.
2,2,Bell,1 gp,-
3,3,Blanket,5 sp,5 lb.
4,4,"Block and Tackle
* A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.",1 gp,5 lb.
5,5,"Book
* A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented sing text or pictures. A book of spells is a spellbook.",25 gp,5 lb.
6,6,"Candle
* For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for another 5 feet.",1 cp,-
7,7,"Chain (10 ft)
* A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.",5 gp,10 lb.
8,8,Chalk (1 pc),1 cp,-
9,9,"Component Pouch
* A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).",25 gp,2 lb.
10,10,"Fishing Tackle
* This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting.",1 gp,4 lb.
11,11,Grappling Hook,2 gp,4 lb.
12,12,Hammer,1 gp,3 lb.
13,13,Hourglass,25 gp,1 lb.
14,14,Ink (1 oz),10 gp,-
15,15,Ink Pen,2 cp,-
16,16,Ladder (10 ft),1 sp,25 lb.
17,17,"Lock
* A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices.",10 gp,1 lb.
18,18,"Magnifying Glass
* This lens allows a closer look at small objects. It is also useful as a substitute or flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed.",100 gp,-
19,19,"Mess Kit
* This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.",2 sp,1 lb.
20,20,Miner's Pick,2 gp,10 lb.
21,21,Paper (1 pc),2 sp,-
22,22,Parchment (1 sheet),1 sp,-
23,23,Perfume (vial),5 gp,-
24,24,Piton,5 cp,0.25 lb.
25,25,Pole (10 ft),5 cp,7 lb.
26,26,"Rations (1 day)
* Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts.",5 sp,2 lb.
27,27,"Rope
* Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.
- Hemp (50 ft)
- Silk (50 feet)","

1 gp
10 gp","

10 lb.
5 lb."
28,28,Sealing Wax,5 sp,-
29,29,Shovel,2 gp,5 lb.
30,30,Signal Whistle,5 cp,-
31,31,Signet Ring,5 gp,-
32,32,Sledgehammer,2 gp,10 lb.
33,33,"Spellbook
* Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells.",50 gp,3 lb.
34,34,Spikes - Iron (10),1 gp,5 lb.
35,35,"Spyglass
* Objects viewed through a spyglass are magnified to twice their size.",1000 gp,1 lb.
36,36,Tent - 2 person,2 gp,20 lbs.
37,37,Whetstone,1 cp,1 lb.
38,38,"Acid (vial)
* As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.",25 gp,1 lb.
39,39,"Alchemist's Fire (flask)
* This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",50 gp,1 lb.
40,40,"Antitoxin (vial)
* A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefits to undead or constructs.",50 gp,-
41,41,"Ball Bearings (bag of 1,000)
* As an action, you can spill these tiny balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or all prone. A creature moving through the area at half speed doesn't need to make the saving throw.",1 gp,2 lb.
42,42,"Caltrops (bag of 20)
* As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw.",1 gp,2 lb.
43,43,"Climber's Kit
* A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor.",25 gp,12 lb.
44,44,"Crowbar
* Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.",2 gp,5 lb.
45,45,"Healer's Kit
* This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",5 gp,3 lb.
46,46,"Holy Water (flask)
* As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.
* A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot.",25 gp,1 lb.
47,47,"Hunting Trap
* When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.",5 gp,25 lb.
48,48,"Lamp
* A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",5 sp,1 lb.
49,49,"Lantern - Bullseye
* A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",10 gp,2 lb.
50,50,"Lantern - Hooded
* A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",5 gp,2 lb.
51,51,"Oil (flask)
* Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. if lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",1 sp,1 lb.
52,52,"Poison, basic (vial)
* You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.",100 gp,-
53,53,Potion of Healing (common),50 gp,0.5 lb.
54,54,"Tinderbox
* This small container holds flint, fire steel, an tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch — or anything else with abundant, exposed fuel — takes an action. Lighting any other fire takes 1 minutes.",5 sp,1 lb.
55,55,"Torch
* A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage.",1 cp,1 lb.
56,56,Common Clothes,5 sp,3 lb.
57,57,Costume,5 gp,4 lb.
58,58,Fine Clothes,15 gp,6 lb.
59,59,Robes,1 gp,4 lb.
60,60,Traveler's Clothes,2 gp,4 lb.
61,61,Crystal,10 gp,1 lb.
62,62,Orb,20 gp,3 lb.
63,63,Rod,10 gp,2lb.
64,64,Staff,5 gp,4 lb.
65,65,Wand,10 gp,1 lb.
66,66,Sprig of Mistletoe,1 gp,-
67,67,Totem,1 gp,-
68,68,Wooden Staff,5 gp,4 lb.
69,69,Yew Wand,10 gp,1 lb.
70,70,Amulet,5 gp,1 lb.
71,71,Emblem,5 gp,-
72,72,Reliquary,5 gp,2 lb.
